Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,129.630661,145.001770,126.490021,143.543991,143.543991,59754066605
2020-01-08,143.487823,167.681549,135.520401,165.955353,165.955353,69120560394
2020-01-15,165.734619,178.528778,159.709641,169.697159,169.697159,93482594438
2020-01-22,169.608536,176.370316,156.749741,176.370316,176.370316,70560537389
2020-01-29,176.347885,193.436890,172.374634,189.250595,189.250595,84789862550
2020-02-05,189.299103,236.547134,188.752686,235.851196,235.851196,112911731522
2020-02-12,235.898224,287.123688,235.896271,281.944580,281.944580,175274997266
2020-02-19,282.036285,283.537933,246.858994,247.817596,247.817596,147548596025
2020-02-26,247.740204,249.649704,212.664520,224.479630,224.479630,150964540756
2020-03-04,224.565338,249.978485,192.269897,200.767242,200.767242,136946973605
2020-03-11,200.768036,202.954300,95.184303,113.942749,113.942749,120516586527
2020-03-18,113.857643,150.853806,111.743111,138.761444,138.761444,101915732519
2020-03-25,138.914963,141.403793,125.289680,133.593567,133.593567,81203547977
2020-04-01,133.612320,175.204132,129.730942,165.101944,165.101944,107487409987
2020-04-08,165.240326,173.210266,151.614487,157.596390,157.596390,109813001258
2020-04-15,157.565643,188.098923,150.359421,172.737701,172.737701,130828718382
2020-04-22,172.670395,199.552795,171.826599,198.415390,198.415390,129543000277
2020-04-29,198.465195,227.529694,198.124512,206.774399,206.774399,155640107774
2020-05-06,206.481354,216.327682,180.718338,189.312500,189.312500,144499878483
2020-05-13,189.374100,215.908463,189.127701,213.451111,213.451111,116414767897
2020-05-20,213.446243,214.716827,193.346436,201.902313,201.902313,81153650608
2020-05-27,201.893005,252.222000,201.785065,237.219055,237.219055,90105459100
2020-06-03,237.395218,248.342438,235.464447,244.911453,244.911453,63509225124
2020-06-10,244.822067,249.888306,221.241760,234.416168,234.416168,63101232131
2020-06-17,234.492371,244.864410,226.640625,244.142151,244.142151,48918920698
2020-06-24,244.185928,248.508026,219.472672,226.315002,226.315002,48957510700
2020-07-01,226.134583,242.681854,224.544495,239.075531,239.075531,43529878423
2020-07-08,239.159973,248.308868,236.730530,240.211487,240.211487,52987728189
2020-07-15,240.143646,246.186264,231.621170,245.016724,245.016724,41937398173
2020-07-22,245.037262,330.701202,242.484344,316.657257,316.657257,78239806965
2020-07-29,316.555359,411.228302,313.109589,389.875488,389.875488,94613491278
