variable,VIF
const,58451.1736199828
close_^IXIC,32.77124518773071
close_^VIX,6.03740042234117
bogmbase_BOGMBASE,10.022454834772574
cpiaucsl_CPIAUCSL,246.43980079006522
price_Crude Oil,8.091782902742436
dgs2_DGS2,992.4964911492218
dgs5_DGS5,3697.0481865158627
dgs10_DGS10,2808.7737056654596
dgs30_DGS30,563.019567957318
close_DJI,17.990221105783267
fedfunds_FEDFUNDS,181.99624928124518
price_Gold,4.6092329871463456
close_GSPC - S&P 500,35.68766496806325
unrate_UNRATE,47.327372714351355
ussthpi_USSTHPI,64.03155236586609
wm2ns_WM2NS,30.830909711223224
